,x,y,num
0,945,893,1669.0
1,943,901,1674.0
2,919,924,1679.0
3,920,935,1684.0
4,909,944,1689.0
5,909,924,1694.0
6,897,918,1699.0
7,890,928,1704.0
8,876,933,1709.0
9,876,938,1714.0
10,888,941,1719.0
11,875,937,1724.0
12,873,920,1729.0
13,844,936,1734.0
14,836,937,1739.0
15,823,935,1744.0
16,806,940,1749.0
17,773,949,1754.0
18,740,949,1759.0
19,718,947,1764.0
20,683,951,1769.0
21,682,955,1774.0
22,650,958,1779.0
23,622,955,1784.0
24,607,954,1789.0
25,571,960,1794.0
26,536,960,1799.0
27,524,958,1804.0
28,509,956,1809.0
29,477,955,1814.0
30,475,961,1819.0
31,449,957,1824.0
32,429,962,1829.0
33,397,954,1834.0
34,369,953,1839.0
35,333,950,1844.0
36,312,944,1849.0
37,275,949,1854.0
38,254,946,1859.0
39,216,944,1864.0
40,173,949,1869.0
41,158,944,1874.0
42,126,945,1879.0
43,101,945,1884.0
44,88,945,1889.0
45,84,945,1894.0
46,82,946,1899.0
47,79,949,1904.0
48,79,950,1909.0
49,79,953,1914.0
50,77,948,1919.0
51,75,949,1924.0
52,78,956,1929.0
53,78,956,1934.0
54,80,958,1939.0
55,81,959,1944.0
56,78,959,1949.0
57,79,960,1954.0
58,76,961,1959.0
59,71,967,1964.0
60,67,964,1969.0
61,68,965,1974.0
62,68,966,1979.0
63,72,968,1984.0
64,71,971,1989.0
65,80,972,1994.0
66,78,974,1999.0
67,71,966,2004.0
68,77,961,2009.0
69,78,961,2014.0
70,81,960,2019.0
71,81,959,2024.0
72,77,957,2029.0
73,80,956,2034.0
74,79,947,2039.0
75,79,947,2044.0
76,79,947,2049.0
77,76,941,2054.0
78,77,939,2059.0
79,77,938,2064.0
80,78,933,2069.0
81,78,926,2074.0
82,76,917,2079.0
83,68,910,2084.0
84,63,909,2089.0
85,59,906,2094.0
86,61,888,2099.0
87,53,866,2104.0
88,55,857,2109.0
89,52,836,2114.0
90,54,812,2119.0
91,52,796,2124.0
92,48,745,2129.0
93,47,707,2134.0
94,49,659,2139.0
95,42,629,2144.0
96,45,596,2149.0
97,44,590,2154.0
98,45,585,2159.0
99,44,582,2164.0
100,41,542,2169.0
101,44,515,2174.0
102,45,494,2179.0
103,49,491,2184.0
104,49,470,2189.0
105,48,437,2194.0
106,50,385,2199.0
107,55,386,2204.0
108,60,354,2209.0
109,67,341,2214.0
110,52,289,2219.0
111,52,268,2224.0
112,56,231,2229.0
113,54,203,2234.0
114,53,189,2239.0
115,50,188,2244.0
116,49,194,2249.0
117,53,188,2254.0
118,53,187,2259.0
119,50,189,2264.0
120,45,198,2269.0
121,45,198,2274.0
122,50,190,2279.0
123,49,190,2284.0
124,51,187,2289.0
125,52,184,2294.0
126,56,175,2299.0
127,55,169,2304.0
128,57,146,2309.0
129,53,133,2314.0
130,52,132,2319.0
131,54,130,2324.0
132,54,128,2329.0
133,53,126,2334.0
134,51,118,2339.0
135,53,109,2344.0
136,56,106,2349.0
137,76,112,2354.0
138,89,103,2359.0
139,77,96,2364.0
140,78,96,2369.0
141,79,88,2374.0
142,80,79,2379.0
143,84,75,2384.0
144,82,70,2389.0
145,83,69,2394.0
146,82,72,2399.0
147,82,74,2404.0
148,82,77,2409.0
149,82,78,2414.0
150,80,78,2419.0
151,82,79,2424.0
152,82,80,2429.0
153,86,86,2434.0
154,97,81,2439.0
155,102,82,2444.0
156,103,79,2449.0
157,109,79,2454.0
158,115,79,2459.0
159,127,74,2464.0
160,133,77,2469.0
161,142,64,2474.0
162,141,59,2479.0
163,160,67,2484.0
164,160,61,2489.0
165,168,59,2494.0
166,197,58,2499.0
167,216,52,2504.0
168,235,53,2509.0
169,238,54,2514.0
170,236,55,2519.0
171,258,59,2524.0
172,276,54,2529.0
173,328,58,2534.0
174,343,56,2539.0
175,384,50,2544.0
176,408,49,2549.0
177,452,53,2554.0
178,492,48,2559.0
179,519,48,2564.0
180,553,42,2569.0
181,589,45,2574.0
182,631,51,2579.0
183,651,47,2584.0
184,677,48,2589.0
185,700,47,2594.0
186,763,49,2599.0
187,760,50,2604.0
188,767,50,2609.0
189,779,45,2614.0
190,806,48,2619.0
191,817,44,2624.0
192,823,47,2629.0
193,813,46,2634.0
194,813,46,2639.0
195,813,46,2644.0
196,813,46,2649.0
197,813,46,2654.0
198,813,46,2659.0
199,813,46,2664.0
200,814,46,2669.0
201,814,48,2674.0
202,833,47,2679.0
203,834,52,2684.0
204,849,58,2689.0
205,851,66,2694.0
206,858,61,2699.0
207,868,61,2704.0
208,873,58,2709.0
209,877,59,2714.0
210,877,57,2719.0
211,890,51,2724.0
212,897,53,2729.0
213,900,52,2734.0
214,902,53,2739.0
215,907,56,2744.0
216,907,63,2749.0
217,909,66,2754.0
218,907,68,2759.0
219,909,70,2764.0
220,911,71,2769.0
221,911,64,2774.0
222,910,65,2779.0
223,916,73,2784.0
224,912,76,2789.0
225,916,87,2794.0
226,925,96,2799.0
227,934,111,2804.0
228,936,130,2809.0
229,941,165,2814.0
230,950,206,2819.0
231,949,262,2824.0
232,943,299,2829.0
233,952,344,2834.0
234,943,395,2839.0
235,952,446,2844.0
236,952,493,2849.0
237,957,525,2854.0
238,950,539,2859.0
239,950,595,2864.0
240,948,638,2869.0
241,950,710,2874.0
242,946,694,2879.0
243,946,726,2884.0
244,942,742,2889.0
245,948,768,2894.0
246,949,775,2899.0
247,949,806,2904.0
248,949,805,2909.0
249,950,805,2914.0
250,949,805,2919.0
251,947,807,2924.0
252,940,823,2929.0
253,938,835,2934.0
254,935,853,2939.0
255,935,861,2944.0
256,934,870,2949.0
257,934,879,2954.0
258,922,890,2959.0
259,923,907,2964.0
260,924,914,2969.0
261,923,919,2974.0
262,921,918,2979.0
263,924,921,2984.0
264,928,920,2989.0
265,929,916,2994.0
266,935,913,2999.0
267,935,915,3004.0
268,935,914,3009.0
269,936,914,3014.0
270,936,914,3019.0
271,938,910,3024.0
272,937,909,3029.0
273,940,900,3034.0
274,940,900,3039.0
275,940,901,3044.0
276,943,903,3049.0
277,943,902,3054.0
