,x,y,num
0,825,888,1778.0
1,852,870,1788.0
2,855,874,1793.0
3,935,789,1798.0
4,804,866,1803.0
5,914,810,1808.0
6,895,812,1813.0
7,850,840,1818.0
8,885,819,1823.0
9,781,859,1828.0
10,923,820,1833.0
11,941,813,1838.0
12,884,862,1843.0
13,898,864,1848.0
14,878,877,1853.0
15,899,824,1858.0
16,904,816,1863.0
17,916,817,1868.0
18,926,815,1873.0
19,927,814,1878.0
20,925,818,1883.0
21,924,822,1888.0
22,924,825,1893.0
23,926,826,1898.0
24,923,824,1903.0
25,925,824,1908.0
26,941,852,1913.0
27,942,851,1918.0
28,945,865,1923.0
29,951,843,1928.0
30,926,812,1933.0
31,913,857,1938.0
32,937,849,1943.0
33,936,860,1948.0
34,946,834,1953.0
35,946,847,1958.0
36,939,859,1963.0
37,940,850,1968.0
38,942,825,1973.0
39,941,821,1978.0
40,940,787,1983.0
41,940,779,1988.0
42,935,773,1993.0
43,936,772,1998.0
44,935,778,2003.0
45,932,782,2008.0
46,935,774,2013.0
47,934,765,2018.0
48,935,765,2023.0
49,936,764,2028.0
50,937,762,2033.0
51,936,761,2038.0
52,940,759,2043.0
53,942,756,2048.0
54,945,759,2053.0
55,947,754,2058.0
56,945,748,2063.0
57,944,743,2068.0
58,943,742,2073.0
59,944,740,2078.0
60,945,747,2083.0
61,945,748,2088.0
62,946,748,2093.0
63,945,746,2098.0
64,944,738,2103.0
65,943,738,2108.0
66,944,748,2113.0
67,941,761,2118.0
68,940,767,2123.0
69,937,773,2128.0
70,938,781,2133.0
71,939,782,2138.0
72,939,794,2143.0
73,938,798,2148.0
74,938,794,2153.0
75,936,807,2158.0
76,937,804,2163.0
77,933,809,2168.0
78,931,814,2173.0
79,937,821,2178.0
80,942,815,2183.0
81,940,827,2188.0
82,941,829,2193.0
83,942,830,2198.0
84,948,829,2203.0
85,950,816,2208.0
86,954,820,2213.0
87,954,842,2218.0
88,955,840,2223.0
89,951,840,2228.0
90,946,843,2233.0
91,943,855,2238.0
92,945,859,2243.0
93,945,861,2248.0
94,951,876,2253.0
95,948,889,2258.0
96,950,889,2263.0
97,950,889,2268.0
98,950,892,2273.0
99,953,890,2278.0
100,954,890,2283.0
101,954,894,2288.0
102,955,896,2293.0
103,955,900,2298.0
104,953,900,2303.0
105,952,900,2308.0
106,955,902,2313.0
107,958,901,2318.0
108,958,902,2323.0
109,954,908,2328.0
110,950,907,2333.0
111,950,907,2338.0
112,951,905,2343.0
113,952,903,2348.0
114,951,906,2353.0
115,951,906,2358.0
116,943,908,2363.0
117,938,916,2368.0
118,917,933,2373.0
119,915,934,2378.0
120,907,939,2383.0
121,906,939,2388.0
122,901,940,2393.0
123,894,946,2398.0
124,892,947,2403.0
125,893,947,2408.0
126,890,946,2413.0
127,889,946,2418.0
128,888,945,2423.0
129,886,945,2428.0
130,886,946,2433.0
131,886,946,2438.0
132,885,946,2443.0
133,885,946,2448.0
134,888,946,2453.0
135,885,946,2458.0
136,883,946,2463.0
137,878,946,2468.0
138,877,943,2473.0
139,875,942,2478.0
140,866,941,2483.0
141,865,943,2488.0
142,865,941,2493.0
143,867,939,2498.0
144,863,940,2503.0
145,864,939,2508.0
146,867,938,2513.0
147,864,941,2518.0
148,863,940,2523.0
149,860,941,2528.0
150,854,941,2533.0
151,850,939,2538.0
152,850,938,2543.0
153,848,936,2548.0
154,856,937,2553.0
155,846,937,2558.0
156,846,937,2563.0
157,847,937,2568.0
158,847,936,2573.0
159,859,938,2578.0
160,867,944,2583.0
161,888,945,2588.0
162,891,945,2593.0
163,897,947,2598.0
164,900,946,2603.0
165,903,945,2608.0
166,915,942,2613.0
167,917,942,2618.0
168,922,941,2623.0
169,938,941,2628.0
170,943,938,2633.0
171,938,932,2638.0
172,940,929,2643.0
173,940,927,2648.0
174,944,927,2653.0
175,940,926,2658.0
176,944,925,2663.0
177,945,926,2668.0
178,945,925,2673.0
179,944,920,2678.0
180,942,922,2683.0
181,943,926,2688.0
182,940,925,2693.0
183,940,925,2698.0
184,933,932,2703.0
185,935,936,2708.0
186,934,937,2713.0
187,934,937,2718.0
188,934,937,2723.0
189,934,936,2728.0
190,934,937,2733.0
191,934,936,2738.0
192,934,936,2743.0
193,938,941,2748.0
194,936,942,2753.0
195,935,946,2758.0
196,935,946,2763.0
197,935,946,2768.0
198,939,947,2773.0
199,939,948,2778.0
200,939,947,2783.0
201,940,947,2788.0
202,940,947,2793.0
203,940,952,2798.0
204,940,952,2803.0
205,935,954,2808.0
206,940,954,2813.0
207,940,954,2818.0
208,940,954,2823.0
209,940,954,2828.0
210,941,955,2833.0
211,937,957,2838.0
212,939,956,2843.0
213,941,954,2848.0
214,941,954,2853.0
215,941,954,2858.0
216,941,954,2863.0
217,940,954,2868.0
218,941,954,2873.0
219,941,959,2878.0
220,941,954,2883.0
221,941,954,2888.0
222,936,945,2893.0
223,936,935,2898.0
224,935,936,2903.0
225,937,930,2908.0
226,934,926,2913.0
227,934,927,2918.0
228,934,926,2923.0
229,934,922,2928.0
230,934,922,2933.0
231,935,917,2938.0
232,935,917,2943.0
233,934,917,2948.0
234,935,913,2953.0
235,938,910,2958.0
236,934,904,2963.0
237,936,900,2968.0
238,937,899,2973.0
239,939,894,2978.0
240,939,894,2983.0
241,940,894,2988.0
242,939,886,2993.0
243,939,884,2998.0
244,938,886,3003.0
245,938,885,3008.0
246,938,884,3013.0
247,938,885,3018.0
248,938,886,3023.0
249,939,888,3028.0
250,942,895,3033.0
251,943,893,3038.0
252,943,892,3043.0
253,941,893,3048.0
254,940,891,3053.0
255,941,895,3058.0
